"","stop_id","stop_name","stop_lat","stop_lon","trip_id","arrival_time","departure_time","stop_sequence"
"174",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,1007770,"17:37:00","17:37:00",2
"175",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,1087390,"08:12:00","08:12:00",2
"176",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,143556,"16:12:00","16:12:00",2
"177",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,19700,"09:37:00","09:37:00",2
"178",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,267522,"09:37:00","09:37:00",2
"179",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,364365,"13:37:00","13:37:00",2
"180",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,568658,"13:37:00","13:37:00",2
"181",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,672795,"17:37:00","17:37:00",2
"182",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,682499,"14:12:00","14:12:00",2
"183",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,70009,"18:12:00","18:12:00",2
"184",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,72301,"12:12:00","12:12:00",2
"185",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,954499,"10:12:00","10:12:00",2
"186",21935,"Flensburg, Mühlental, Mast 1o",54.75469,9.401364,966311,"06:12:00","06:12:00",2
"187",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,1107130,"17:56:00","17:56:00",4
"188",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,282785,"06:10:00","06:10:00",4
"189",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,379215,"07:45:00","07:45:00",4
"190",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,50656,"13:35:00","13:35:00",4
"191",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,621902,"16:35:00","16:35:00",4
"192",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,644799,"06:40:00","06:40:00",4
"193",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,1222757,"12:42:00","12:42:00",3
"194",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,17322,"18:42:00","18:42:00",3
"195",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,295076,"08:42:00","08:42:00",3
"196",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,481480,"06:42:00","06:42:00",3
"197",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,590729,"10:42:00","10:42:00",3
"198",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,88536,"16:42:00","16:42:00",3
"199",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,901607,"14:42:00","14:42:00",3
"200",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,1012112,"05:29:00","05:29:00",3
"201",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,1146061,"13:29:00","13:29:00",3
"202",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,1164709,"07:29:00","07:29:00",3
"203",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,1250462,"13:29:00","13:29:00",3
"204",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,268074,"09:29:00","09:29:00",3
"205",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,374538,"17:29:00","17:29:00",3
"206",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,390916,"17:29:00","17:29:00",3
"207",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,39442,"11:29:00","11:29:00",3
"208",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,49477,"21:38:00","21:38:00",3
"209",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,520869,"21:40:00","21:40:00",3
"210",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,550747,"17:29:00","17:29:00",3
"211",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,592490,"13:29:00","13:29:00",3
"212",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,669427,"19:29:00","19:29:00",3
"213",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,74766,"09:29:00","09:29:00",3
"214",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,812727,"15:29:00","15:29:00",3
"215",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,833777,"09:29:00","09:29:00",3
"216",22361,"Flensburg, Mühlendamm, Mast 1u",54.777405,9.441171,1001911,"09:42:00","09:42:00",3
